4 4

8  _  10 3    _  14 _  _    _  12 5  9    _  11 15 _
_  11 _  13   16 _  _  _    7  _  _  _    14 9  6  _
14 6  5  _    7  3  _  9    4  2  15 1    _  _  12 _
_  7  15 _    13 12 _  8    14 6  _  _    _  4  _  _

5  14 _  11   _  _  16 1    6  _  10 13   _  2  _  3
_  13 7  _    _  6  _  _    _  _  _  4    _  15 _  16
_  3  _  2    _  13 _  5    8  9  _  _    _  _  _  _
_  15 _  _    _  _  _  3    16 5  12 _    _  _  _  13

15 _  _  _    _  16 3  11   5  _  _  _    _  _  4  _
_  _  _  _    _  _  8  14   9  _  13 _    5  _  11 _
11 _  9  _    5  _  _  _    _  _  14 _    _  1  16 _
4  _  3  _    1  9  _  13   2  11 _  _    8  _  10 14

_  _  6  _    _  _  5  16   10 _  2  7    _  14 9  _
_  10 _  _    9  1  13 7    11 _  4  14   _  5  3  12
_  5  14 1    _  _  _  10   _  _  _  3    15 _  13  _
_  9  11 _    3  4  14 _    _  _  6  _    2  16 _  10
